file,event,label,e_mev,length,linearity,purity,foreign,hint,dom_t0,top_foreign
flow0000001,6,25,299.7303299307823,201.39443139689166,0.999050188057235,0.8364525981721866,49.020116709172726,mixed/absorbed,327.8166355715236,g16:49MeV(t0 218)
flow0000001,6,37,218.20002750307322,105.88677678898756,0.9955093455562478,0.892013539486597,23.56264865398407,mixed/absorbed,591.6492883227393,g55:17MeV(t0 668)
flow0000001,6,105,51.98495355993509,11.819282191367027,0.5431910169140938,0.5768347206513356,21.998227395117283,mixed/absorbed,319.5592271758289,g30:22MeV(t0 360)
flow0000001,6,174,1575.0963153392076,68.89832450147519,0.4839141325175835,0.9821099661906096,28.17852633446455,mixed/absorbed,218.42631891038684,g35:18MeV(t0 434)
flow0000001,6,232,81.25451401621103,24.672358634183823,0.8542763239415977,0.7310058196767555,21.85699139535427,mixed/absorbed,218.6288679985151,g28:22MeV(t0 329)
flow0000001,6,496,464.0064693465829,47.6973398741345,0.8315358622040468,0.5578396698533337,205.1652536764741,mixed/absorbed,288.4476408824241,g16:165MeV(t0 218)
flow0000001,7,42,133.58754266798496,51.9214338321721,0.9562076626736512,0.5235593275481105,63.64653865993023,mixed/absorbed,133.8028626949229,g18:64MeV(t0 168)
flow0000001,7,48,629.1665041819215,402.7507883714446,0.9999381623875151,0.9122019605123968,55.23958557844162,mixed/absorbed,470.55079267638564,g54:35MeV(t0 569)
flow0000001,7,72,305.7921585291624,72.42931333131767,0.9421591214438048,0.6166616347619603,117.2218661531806,mixed/absorbed,568.0395301418753,g47:99MeV(t0 489)
flow0000001,7,77,97.39631385356188,29.49541958185964,0.9249241567696658,0.5771732136985221,41.181770384311676,mixed/absorbed,568.2209828969594,g15:22MeV(t0 134)
flow0000001,7,117,59.77091384679079,25.795896011713914,0.9273631041451889,0.5502346912773922,26.88288351893425,mixed/absorbed,555.0640289306641,g51:27MeV(t0 532)
flow0000001,7,136,376.83534406125546,164.45192477608174,0.8861473249125141,0.944572262882719,20.8871303871274,mixed/absorbed,36.98242577971962,g7:21MeV(t0 64)
flow0000001,7,270,53.35033917427063,21.012705262179775,0.6027897120199328,0.5538225065336889,23.803720608353615,mixed/absorbed,544.1567561602352,g12:24MeV(t0 112)
flow0000001,7,471,1694.570953629911,91.76206402540672,0.7282570633873876,0.9396892310614572,102.20087723433971,mixed/absorbed,567.9237954430546,g58:25MeV(t0 616)
flow0000001,7,568,605.6563955321908,91.80012507412208,0.8687821073080121,0.9012180550304439,59.827916733920574,mixed/absorbed,568.0390928563228,g5:60MeV(t0 52)
flow0000001,7,821,967.4516382813454,98.62201689443299,0.8373733512667689,0.8866474340243414,109.66312565654516,mixed/absorbed,263.5269019369706,g8:99MeV(t0 70)
flow0000001,8,15,106.48953977972269,48.99361144390416,0.977939931062334,0.7689268860175327,24.60686956346035,mixed/absorbed,556.2255498414398,g54:25MeV(t0 592)
flow0000001,8,571,56.04146137088537,17.339455594897892,0.7485929735857315,0.6269732602241141,20.90496362745762,mixed/absorbed,469.9676086425781,g58:21MeV(t0 631)
flow0000001,8,1038,75.54584938287735,15.071719013907536,0.7757199818594747,0.7269822411075997,20.625358492136,mixed/absorbed,435.83745915339546,g43:21MeV(t0 472)
flow0000001,8,1112,105.82125756144524,21.688391462048656,0.7803215127965327,0.5512882446983206,47.483242228627205,mixed/absorbed,616.1148071289062,g5:47MeV(t0 60)
